"A.P.position","M.L.position","MSX1","SIX1","PAX7"
"Posterior",224.242,32.362,40.8005,10.6892
"Posterior",225.758,33.147,41.5673,10.5195
"Posterior",227.273,33.554,40.0688,10.877
"Posterior",228.788,31.175,40.9484,9.912
"Posterior",230.303,29.971,43.8402,10.6282
"Posterior",231.818,32.595,39.5047,11.6294
"Posterior",233.333,29.346,38.887,10.3259
"Posterior",234.848,29.363,35.6429,10.432
"Posterior",236.364,28.107,36.0626,9.2097
"Posterior",237.879,25.967,29.1723,9.1872
"Posterior",239.394,26.428,37.225,8.1546
"Posterior",240.909,29.44,35.4005,9.36
"Posterior",242.424,25.614,37.9602,9.5576
"Posterior",243.939,27.538,33.551,8.9681
"Posterior",245.455,26.622,33.1989,7.9405
"Posterior",246.97,25.675,36.5321,8.0813
"Posterior",248.485,24.034,33.5619,9.4251
"Posterior",250,22.878,37.0335,8.8973
"Posterior",251.515,22.643,37.5874,9.0797
"Posterior",253.03,21.001,38.8024,8.0819
"Posterior",254.545,21.54,37.75,8.5423
"Posterior",256.061,24.676,36.4441,10.9615
"Posterior",257.576,22.419,34.0372,9.3112
"Posterior",259.091,24.653,35.8133,9.2818
"Posterior",260.606,25.416,36.0754,9.0659
"Posterior",262.121,23.512,35.7947,8.188
"Posterior",263.636,25.968,36.7944,8.0133
"Posterior",265.152,24.144,29.0911,9.2617
"Posterior",266.667,24.819,33.2119,7.7041
"Posterior",268.182,25.113,36.6833,9.4735
"Posterior",269.697,22.007,31.3222,9.0358
"Posterior",271.212,20.321,31.2873,9.0163
"Posterior",272.727,21.424,34.7543,9.3585
"Posterior",274.242,20.094,32.3469,7.3948
"Posterior",275.758,22.877,27.8628,7.4662
"Posterior",277.273,24.923,32.0467,7.8352
"Posterior",278.788,27.547,31.2744,9.9852
"Posterior",280.303,26.58,32.1672,6.3557
"Posterior",281.818,23.555,35.9453,8.2862
"Posterior",283.333,20.652,33.3155,10.3873
"Posterior",284.848,21.639,31.0292,8.8782
"Posterior",286.364,21.577,30.9721,7.994
"Posterior",287.879,20.146,26.6866,8.3573
"Posterior",289.394,20.435,25.4292,8.7319
"Posterior",290.909,22.661,24.0248,8.9423
"Posterior",292.424,21.283,23.9381,7.4546
"Posterior",293.939,20.85,21.7882,7.7097
"Posterior",295.455,18.988,23.844,7.8478
"Posterior",296.97,24.137,23.0453,8.2878
"Posterior",298.485,22.779,25.8415,6.9317
"Posterior",300,23.656,23.2826,7.9858
"Posterior",301.515,21.962,20.5446,7.6889
"Posterior",303.03,20.404,23.0225,7.8139
"Posterior",304.545,25.046,26.1584,7.3978
"Posterior",306.061,21.083,21.1028,8.0018
"Posterior",307.576,20.202,26.4956,8.7377
"Posterior",309.091,22.685,25.3089,6.1304
"Posterior",310.606,20.924,22.8663,6.3739
"Posterior",312.121,22.629,25.118,8.02
"Posterior",313.636,22.691,26.0987,6.4532
"Posterior",315.152,23.284,24.3037,7.1919
"Posterior",316.667,22.367,23.7231,6.9139
"Posterior",318.182,20.949,20.3301,8.9811
"Posterior",319.697,19.411,22.0383,7.9382
"Posterior",321.212,21.398,18.491,6.097
"Posterior",322.727,23.957,23.7856,7.6462
"Posterior",324.242,23.101,21.899,7.4505
"Posterior",325.758,20.211,23.0643,8.5661
"Posterior",327.273,20.158,21.8743,7.513
"Posterior",328.788,20.926,18.3553,6.9236
"Posterior",330.303,22.55,21.0083,7.9619
"Posterior",331.818,20.214,24.7375,6.6527
"Posterior",333.333,24.174,21.4589,7.4245
"Posterior",334.848,29.204,24.8631,6.417
"Posterior",336.364,26.803,25.9997,8.1196
"Posterior",337.879,25.283,26.2067,7.1216
"Posterior",339.394,26.964,22.9667,7.5184
"Posterior",340.909,25.771,24.7022,4.9712
"Posterior",342.424,25.11,21.0716,6.9809
"Posterior",343.939,23.569,21.6307,6.5194
"Posterior",345.455,23.723,21.608,7.5941
"Posterior",346.97,24.705,24.1226,6.9878
"Posterior",348.485,25.29,22.3086,6.2716
"Posterior",350,24.659,20.3113,7.1334
"Posterior",351.515,27.608,22.6742,7.9697
"Posterior",353.03,24.666,19.9069,6.3098
"Posterior",354.545,29.687,21.0668,6.1044
"Posterior",356.061,29.347,19.8605,9.3295
"Posterior",357.576,31.4,21.3795,5.3744
"Posterior",359.091,31.175,20.7776,7.2459
"Posterior",360.606,31.014,17.5177,7.6012
"Posterior",362.121,33.175,23.1181,7.2735
"Posterior",363.636,34.276,20.247,5.6448
"Posterior",365.152,38.937,23.8,7.4767
"Posterior",366.667,44.726,20.03,6.9253
"Posterior",368.182,45.493,21.829,7.7833
