"A.P.position","M.L.position","SIX1","TFAP2A","PAX7"
"Posterior",160.606,49.5574,50.032,58.2923
"Posterior",162.121,43.9173,57.394,59.9216
"Posterior",163.636,51.2049,59.177,58.8708
"Posterior",165.152,50.8747,51.617,63.1496
"Posterior",166.667,52.1829,61.929,57.9244
"Posterior",168.182,50.6397,58.289,66.7043
"Posterior",169.697,51.2248,65.653,59.4844
"Posterior",171.212,47.7588,55.75,61.66
"Posterior",172.727,49.9456,54.332,64.2219
"Posterior",174.242,45.2231,58.662,56.9273
"Posterior",175.758,40.779,58.684,58.956
"Posterior",177.273,43.1724,62.932,59.4517
"Posterior",178.788,50.6578,59.559,60.7748
"Posterior",180.303,46.8849,62.883,65.6304
"Posterior",181.818,46.4251,71.584,69.2609
"Posterior",183.333,48.2736,73.911,69.8365
"Posterior",184.848,44.8552,77.204,66.3252
"Posterior",186.364,46.6932,82.682,64.8538
"Posterior",187.879,48.8237,84.747,71.9948
"Posterior",189.394,47.7026,83.887,72.8924
"Posterior",190.909,47.3113,93.881,70.9598
"Posterior",192.424,45.6946,93.852,67.1548
"Posterior",193.939,51.9284,91.32,62.6167
"Posterior",195.455,46.5816,90.314,64.4652
"Posterior",196.97,52.888,100.057,63.9412
"Posterior",198.485,44.443,101.684,83.6767
"Posterior",200,53.8486,119.811,78.9742
"Posterior",201.515,50.7628,119.601,76.4961
"Posterior",203.03,51.3545,107.835,72.3527
"Posterior",204.545,47.1313,102.921,64.2587
"Posterior",206.061,51.0319,103.425,69.0515
"Posterior",207.576,49.11,117.835,64.4729
"Posterior",209.091,49.6207,132.502,59.7837
"Posterior",210.606,58.9536,141.482,70.2902
"Posterior",212.121,46.7117,150.72,63.1202
"Posterior",213.636,52.758,133.844,65.5518
"Posterior",215.152,54.0802,134.967,61.978
"Posterior",216.667,51.049,140.411,64.0517
"Posterior",218.182,52.0388,132.3,61.055
"Posterior",219.697,54.9719,133.597,58.5695
"Posterior",221.212,52.2444,127.265,59.0853
"Posterior",222.727,54.1194,154.537,54.0482
"Posterior",224.242,57.2569,163.277,53.2726
"Posterior",225.758,56.036,173.632,64.2486
"Posterior",227.273,65.508,183.811,52.7014
"Posterior",228.788,69.5135,189.01,53.6413
"Posterior",230.303,70.3593,174.632,47.4583
"Posterior",231.818,62.8813,156.837,45.2394
"Posterior",233.333,74.1261,151.103,44.7255
"Posterior",234.848,67.2975,143.242,43.2516
"Posterior",236.364,77.4265,147.866,45.7198
"Posterior",237.879,74.787,149.532,40.1032
"Posterior",239.394,68.7523,146.173,35.7318
"Posterior",240.909,67.4101,142.958,39.7472
"Posterior",242.424,70.0286,155.548,37.0282
"Posterior",243.939,67.9974,158.726,37.2033
"Posterior",245.455,65.2391,174.26,41.4652
"Posterior",246.97,72.1366,148.51,41.1109
"Posterior",248.485,67.4522,145.4,40.4854
"Posterior",250,69.7507,173.138,34.8791
"Posterior",251.515,68.2775,155.643,35.476
"Posterior",253.03,67.6151,162.922,32.6857
"Posterior",254.545,74.484,150.883,35.7078
"Posterior",256.061,78.6895,148.162,27.9121
"Posterior",257.576,79.9193,148.209,32.3587
"Posterior",259.091,85.2674,143.982,30.2891
"Posterior",260.606,74.7849,141.513,27.0061
"Posterior",262.121,83.6691,131.655,23.2871
"Posterior",263.636,75.1847,121.149,22.8691
"Posterior",265.152,74.3618,114.691,19.8327
"Posterior",266.667,73.4855,99.196,21.4456
"Posterior",268.182,66.883,99.783,17.8971
"Posterior",269.697,63.1173,85.713,16.932
"Posterior",271.212,66.5512,80.685,18.3771
"Posterior",272.727,58.5246,83.543,17.479
"Posterior",274.242,69.2289,84.537,17.2923
"Posterior",275.758,66.1875,82.746,15.6891
"Posterior",277.273,69.5727,79.766,16.8874
"Posterior",278.788,65.681,90.469,17.6496
"Posterior",280.303,71.6772,98.454,18.0908
"Posterior",281.818,74.3898,89.95,15.9042
"Posterior",283.333,62.994,78.693,15.2412
"Posterior",284.848,66.9401,73.553,18.0012
"Posterior",286.364,70.0545,73.052,13.6298
"Posterior",287.879,66.4414,68.02,16.2655
"Posterior",289.394,64.8304,71.506,14.899
"Posterior",290.909,61.8148,73.2,16.6646
"Posterior",292.424,63.8875,71.62,17.4028
"Posterior",293.939,60.6625,71.915,16.6528
"Posterior",295.455,63.4462,65.011,15.5609
"Posterior",296.97,60.8799,70.253,13.3205
"Posterior",298.485,57.5144,79.945,14.0285
"Posterior",300,62.4946,85.314,13.6724
"Posterior",301.515,71.6958,90.563,14.7813
"Posterior",303.03,63.6843,92.563,15.3741
"Posterior",304.545,66.6088,79.009,12.9525
"Posterior",306.061,75.4804,93.195,13.1715
"Posterior",307.576,70.6462,79.498,15.0386
"Posterior",309.091,68.6093,91.448,14.9499
"Posterior",310.606,57.2803,80.157,15.3423
"Posterior",312.121,68.9879,85.393,14.3341
"Posterior",313.636,69.8208,79.758,18.1224
"Posterior",315.152,62.9309,81.585,15.6321
"Posterior",316.667,63.1526,82.655,17.1269
"Posterior",318.182,73.3344,80.982,17.1696
"Posterior",319.697,65.1116,85.399,14.6443
"Posterior",321.212,67.5721,90.99,15.9256
"Posterior",322.727,69.461,84.086,12.2295
"Posterior",324.242,65.3225,81.418,17.4387
"Posterior",325.758,63.8617,86.094,19.5752
"Posterior",327.273,61.6589,89.627,18.1222
"Posterior",328.788,71.6481,93.199,17.2365
"Posterior",330.303,79.4433,90.873,15.4063
"Posterior",331.818,65.7413,81.882,18.2407
"Posterior",333.333,62.1251,78.622,15.5603
"Posterior",334.848,74.095,81.165,19.0401
"Posterior",336.364,69.8173,78.627,16.8731
"Posterior",337.879,68.0146,79.385,19.9847
"Posterior",339.394,76.3823,88.247,17.6586
"Posterior",340.909,81.4819,103.443,18.5994
"Posterior",342.424,83.5308,113.95,14.7654
"Posterior",343.939,77.4221,100.71,19.0111
"Posterior",345.455,70.4711,87.436,15.3334
"Posterior",346.97,71.0913,99.954,16.8925
"Posterior",348.485,66.9238,90.094,17.8774
"Posterior",350,64.97,80.386,16.655
"Posterior",351.515,62.1454,75.533,15.2287
"Posterior",353.03,57.7697,78.14,15.3129
"Posterior",354.545,57.913,81.606,13.8158
"Posterior",356.061,60.7433,80.107,13.9392
"Posterior",357.576,66.3656,77.473,15.8589
"Posterior",359.091,70.0314,80.916,15.736
"Posterior",360.606,77.2259,85.383,17.9707
"Posterior",362.121,65.3481,79.899,15.9252
"Posterior",363.636,71.7574,81.965,15.7112
"Posterior",365.152,71.8246,86.974,19.7749
"Posterior",366.667,71.4893,90.23,16.741
"Posterior",368.182,69.2228,73.512,16.7901
"Posterior",369.697,63.7461,69.531,16.2605
"Posterior",371.212,64.2565,68.828,14.9997
"Posterior",372.727,68.5584,73.881,17.0706
"Posterior",374.242,67.372,79.773,18.0009
"Posterior",375.758,67.3396,68.837,15.5932
"Posterior",377.273,62.1909,61.949,16.2779
"Posterior",378.788,60.4083,58.49,17.1806
"Posterior",380.303,65.4574,61.04,14.9535
"Posterior",381.818,58.9195,66.53,17.6259
"Posterior",383.333,59.7108,64.439,14.3164
"Posterior",384.848,58.0937,73.96,18.4188
"Posterior",386.364,61.8588,62.201,13.5013
"Posterior",387.879,57.9731,61.138,14.805
"Posterior",389.394,55.5166,65.099,14.7199
"Posterior",390.909,58.2596,65.505,13.687
"Posterior",392.424,53.5407,70.424,15.039
"Posterior",393.939,48.0047,57.913,14.797
"Posterior",395.455,59.8054,54.999,15.8395
"Posterior",396.97,55.0662,55.761,15.2237
"Posterior",398.485,55.2663,58.482,15.8389
"Posterior",400,53.2925,62.142,16.0648
"Posterior",401.515,61.8302,62.983,14.3803
"Posterior",403.03,55.9487,63.299,13.7752
"Posterior",404.545,57.1607,60.643,13.5674
"Posterior",406.061,56.134,58.429,14.2733
"Posterior",407.576,57.4163,55.344,15.3325
"Posterior",409.091,62.8395,55.461,14.8606
"Posterior",410.606,62.6757,58.668,16.3893
"Posterior",412.121,69.1186,66.624,15.703
"Posterior",413.636,60.1158,68.292,18.0182
"Posterior",415.152,58.0748,66.482,18.0259
"Posterior",416.667,59.1708,60.071,16.3301
"Posterior",418.182,62.4742,67.891,19.8355
"Posterior",419.697,59.0854,61.697,17.4728
